OTHER PLACES	Cases	Deaths	Serious	Critical	Recovered		
China	80,894	3,237	2,622	-	69,601	Source	
Italy	31,506	2,503	2,060	-	2,941	Source	
Iran	17,361	1,135	-	-	5,710	Source	
Spain	13,910	623	774	-	1,081	Source	
Germany	10,093	27	-	2	73	Source	
South Korea	8,413	84	-	-	1,540	Source	
France	7,730	175	300	-	12	Source	
United States	6,332	107	60	4	9		
Switzerland	2,700	27	-	-	4	Source	
United Kingdom	1,950	71	20	-	65	Source	
Netherlands	1,705	43	-	45	2	Source	
Norway	1,479	4	-	-	-	Source	
Austria	1,471	3	-	-	9	Source	
Belgium	1,486	14	100	-	31	Source	
Sweden	1,196	8	-	-	-	Source	
Denmark	1,091	4	-	-	-	Source	
Japan	835	29	32	-	164	Source	
Diamond Princess	712	7	14	-	458	Source	
Malaysia	790	2	15	-	60	Source	
Canada	592	8	-	1	11		
Czech Republic	464	0	2	0	3	Source	
Australia	456	5	-	-	27		
Portugal	448	1	18		3	Source	
Qatar	442	0	-	-	4	Source	
Greece	387	5	5	-	10	Source	
Brazil	346	1	-	-	1	Source	
Israel	337	0	4	-	5	Source	
Finland	333	0	-	-	10	Source	
Slovenia	275	1	0	0	0	Source	
Singapore	266	0	-	14	114	Source	
Iceland	247	0	1	-	5	Source	
Bahrain	242	1	-	3	88	Source	
Ireland	292	2				Source	
Estonia	258	0	-	-	1	Source	
Pakistan	254	0	-	-	4	Source	
Poland	246	5	2	0	0	Source	
Indonesia	227	19			11	Source	
Romania	217	0	-	-	19	Source	
Thailand	212	1	1	-	38	Source	
Luxembourg	203	2				Source	
Chile	201	0				Source	
Egypt	196	6	-	-	26	Source	
Philippines	193	14	1	-	4	Source	
Saudi Arabia	171	0			6	Source	
Hong Kong	168	4	2	2	92	Source	
Iraq	154	11	-	-	41	Source	
India	147	3	-	-	14	Source	
Lebanon	133	3	-	2	-	Source	
Kuwait	130	0	4	-	15	Source	
San Marino	126	11	11	-	4	Source	
Peru	117	0	16		1	Source	
South Africa	116	0				Source	
Russia	114	0	-	-	5	Source	
United Arab Emirates	113	0	-	-	26	Source	
Ecuador	111	2	2		-	Source	
Taiwan	100	1	0	0	22	Source	
Turkey	98	1				Source	
Slovakia	97	0				Source	
Mexico	93	0	-	1	3	Source	
Panama	86	1	8			Source	
Serbia	83	0	1			Source	
Bulgaria	81	2				Source	
Argentina	79	2				Source	
Armenia	78	0			1	Source	
Colombia	75	0				Source	
Afghanistan	73	0	-	-	1	Source	
Latvia	71	0				Source	
Vietnam	68	0	-	-	16	Source	
Algeria	67	5	-	-	10	Source	
Croatia	65	0	-	-	4	Source	
Brunei	56	0	1	2	0	Source	
Albania	55	1	3		0	Source	
Belarus	51	0	-	-	5	Source	
Hungary	50	1	-	-	2	Source	
Costa Rica	50	0	1			Source	
Uruguay	50	0				Source	
Morocco	49	2				Source	
Cyprus	49	0				Source	
Jordan	48	0			1	Source	
Sri Lanka	44	0	-	-	1	Source	
Palestine	44	0	0	0	0	Source	
Andorra	39	0				Source	
Georgia	38	0	1	-	1	Source	
Malta	38	0			2	Source	
Kazakhstan	35	0				Source	
Bosnia	34	0				Source	
Venezuela	33	0				Source	
Cambodia	33	0	-	-	1	Source	
Oman	33	0	0	0	12	Source	
North Macedonia	31	0	0	0	1	Source	
Senegal	31	0	-	-	0	Source	
Moldova	30	1		1	1	Source	
Azerbaijan	30	1	-	-	7	Source	
Tunisia	27	0				Source	
Lithuania	26	0	-	-	1	Source	
Dominican Republic	21	1				Source	
Burkina Faso	20	0				Source	
New Zealand	20	0	-	-	-	Source	
Northern Cyprus	20	0				Source	
Kosovo	19	0				Source	
Liechtenstein	19	0				Source	
Macau	14	0	-	-	10	Source	
Ukraine	14	2				Source	
Maldives	13	0				Source	
Jamaica	13	0				Source	
Uzbekistan	13	0				Source	
Bolivia	12	0				Source	
Paraguay	11	0	1			Source	
Bangladesh	11	1				Source	
Cameroon	10	0				Source	
Kenya	10	0				Source	
Monaco	9	0	-	-	-	Source	
Honduras	8	0				Source	
Rwanda	8	0				Source	
Cuba	7	0		1		Source	
DR Congo	7	0				Source	
Ghana	7	0				Source	
Guatemala	6	1				Source	
Ivory Coast	6	0				Source	
Ethiopia	6	0				Source	
Seychelles	4	0				Source	
Gibraltar	3	0	1		1	Source	
Nigeria	3	0	0	0	0	Source	
Gabon	3	0				Source	
Equatorial Guinea	3	0				Source	
Tanzania	3	0				Source	
Kyrgyzstan	3	0				Source	
Namibia	2	0				Source	
Liberia	2	0				Source	
Montenegro	2	0				Source	
Djibouti	1	0				Source	
Antigua and Barbuda	1	0	0	0	0	Source	
Montserrat	1	0				Source	
Gambia	1	0				Source	
Somalia	1	0				Source	
Benin	1	0				Source	
Bahamas	1	0				Source	
Eswatini	1	0				Source	
Congo Republic	1	0				Source	
Sudan	1	1				Source	
Mauritania	1	0				Source	
Central African Republic	1	0				Source	
Guinea	1	0				Source	
Togo	1	0				Source	
Nepal	1	0	-	-	1	Source	
Bhutan	1	0				Source	
Vatican City	1	0				Source