Mainland China 	1,382,710,000 	 India 	831,370,000 	564,010,000 	
Guangdong 	111,690,000 	 Philippines 	78,020,000 	33,670,000 	
Shandong 	100,060,000 	 Philippines 	60,620,000 	39,440,000 	
Henan 	95,590,000 	 Vietnam 	47,950,000 	47,640,000 	
Sichuan 	83,020,000 	 Germany 	42,170,000 	40,850,000 	
Jiangsu 	80,290,000 	 Turkey 	55,210,000 	25,080,000 	
Hebei 	75,200,000 	 Turkey 	41,360,000 	33,830,000 	
Hunan 	68,600,000 	 France 	37,470,000 	31,130,000 	
Anhui 	62,550,000 	 Italy 	33,460,000 	29,090,000 	
Hubei 	59,020,000 	 Italy 	35,000,000 	24,020,000 	
Zhejiang 	56,570,000 	 South Africa 	38,470,000 	18,100,000 	
Guangxi 	48,850,000 	 South Korea 	24,040,000 	24,810,000 	
Yunnan 	48,010,000 	 South Korea 	22,410,000 	25,590,000 	
Jiangxi 	46,220,000 	 Spain 	25,240,000 	20,980,000 	
Liaoning 	43,690,000 	 Algeria 	29,490,000 	14,200,000 	
Fujian 	39,110,000 	 Iraq 	25,340,000 	13,770,000 	
Shaanxi 	38,350,000 	 Poland 	21,780,000 	16,570,000 	
Heilongjiang 	37,890,000 	 Canada 	22,500,000 	15,380,000 	
Shanxi 	36,820,000 	 Canada 	21,230,000 	15,790,000 	
Guizhou 	35,550,000 	 Morocco 	16,480,000 	19,320,000 	
Chongqing 	30,750,000 	 Ghana 	19,710,000 	11,050,000 	
Jilin 	27,170,000 	 Mozambique 	15,390,000 	11,780,000 	
Gansu 	26,260,000 	 Ivory Coast 	12,180,000 	14,080,000 	
Inner Mongolia 	25,290,000 	 Australia 	15,680,000 	9,610,000 	
Xinjiang 	24,450,000 	 Cameroon 	12,070,000 	12,380,000 	
Shanghai 	24,180,000 	 Cameroon 	21,210,000 	2,970,000 	
Beijing 	21,710,000 	 Sri Lanka 	18,780,000 	2,930,000 	
Tianjin 	15,570,000 	 Somalia 	12,910,000 	2,660,000 	
Hainan 	9,170,000 	 Honduras 	5,370,000 	3,890,000 	
Hong Kong 	7,335,384 	 Togo 	7,335,384 	- 	
Ningxia 	6,820,000 	 El Salvador 	3,950,000 	2,870,000 	
Qinghai 	5,980,000 	 Turkmenistan 	3,170,000 	2,810,000 	
Tibet 	3,370,000 	 Bosnia and Herzegovina 	1,040,000 	2,330,000 	
Macau 	644,900 	 Montenegro 	644,900 	- 	
Taiwan Republic of China (Taiwan) 	23,562,318 	 Cameroon 	17,861,136 	5,701,182 	